Date,Year,Direction,Day,Dist,ElapsedTime,ElapsedNum,AvgPace,AvgPaceNum,AvgSpeed,TotalAscent,TotalDescent,MinTemp,MaxTemp,Calories,AvgHR,Sleep,SleepNum
2022-06-10 3:58:34,2022,NoBo,10,47.62,16:39:30,16.658333,20:59,20.983333,2.85,9994,9455,48,91,5147,94,5:50:30,5.84167
2022-06-09 3:59:06,2022,NoBo,9,51.42,15:29:44,15.495556,18:05,18.083333,3.31,11109,10601,59,86,5500,103,7:00:16,7.00444
2022-06-08 3:38:21,2022,NoBo,8,54.53,17:10:42,17.178333,18:54,18.900000,3.16,12735,14582,57,82,6001,107,5:19:18,5.32167
2022-06-07 4:00:00,2022,NoBo,7,53.19,16:38:41,16.644722,18:46,18.766667,3.2,12880,12529,55,84,5780,106,5:51:19,5.85528
2022-06-06 3:56:40,2022,NoBo,6,50.89,15:39:38,15.660556,18:28,18.466667,3.25,13270,12029,57,86,5657,110,6:50:22,6.83944
2022-06-05 3:58:07,2022,NoBo,5,48.21,15:29:18,15.488333,19:17,19.283333,3.12,11410,14180,46,88,5393,111,7:00:42,7.01167
2022-06-04 4:00:09,2022,NoBo,4,53.74,18:01:07,18.018611,20:07,20.116667,2.97,15546,11976,54,77,6343,114,4:28:53,4.48139
2022-06-03 3:44:55,2022,NoBo,3,53.56,16:45:47,16.763056,18:47,18.783333,3.19,13708,15637,57,79,6196,119,5:44:13,5.73694
2022-06-02 4:00:05,2022,NoBo,2,53.27,15:26:22,15.439444,17:24,17.400000,3.44,13177,12594,66,81,6365,130,7:03:38,7.06056
2022-06-01 4:00:02,2022,NoBo,1,53.3,15:17:03,15.284167,17:12,17.200000,3.49,12973,13612,59,81,5997,132,7:12:57,7.21583
2021-07-09 7:17:07,2021,NoBo,6,38.97,13:06:45,13.112500,20:11,20.183333,2.97,10698,10516,66.2,82.4,3177,,9:23:15,9.38750
2021-07-08 4:58:31,2021,NoBo,5,34.25,14:12:08,14.202222,24:53,24.883333,2.41,6409,10125,64.4,87.8,2749,,8:17:52,8.29778
2021-07-07 5:00:43,2021,NoBo,4,51.58,17:33:48,17.563333,20:26,20.433333,2.93,15749,13063,53.6,73.4,4149,,4:56:12,4.93667
2021-07-06 4:48:52,2021,NoBo,3,49.64,17:35:10,17.586111,21:15,21.250000,2.83,11855,13463,64.4,91.4,3963,,4:54:50,4.91389
2021-07-05 4:54:13,2021,NoBo,2,42.61,14:28:58,14.482778,20:24,20.400000,2.94,11365,9869,62.6,77,3392,,8:01:02,8.01722
2021-07-04 4:58:40,2021,NoBo,1,51.53,15:07:14,15.120556,17:37,17.616667,3.41,12405,13114,59,80.6,4112,,7:22:46,7.37944
2019-07-06 3:45:14,2019,NoBo,6,50.35,17:49:33,17.825833,21:14,21.233333,2.83,10515,14764,53.6,77,4092,,4:40:27,4.67417
2019-07-05 13:26:33,2019,NoBo,5,18.56,7:27:51,7.464167,24:07,24.116667,2.49,4245,3632,59,82.4,1432,,15:02:09,15.03583
2019-07-04 4:04:30,2019,NoBo,4,46.69,17:18:49,17.313611,22:16,22.266667,2.69,13317,11201,57.2,78.8,3803,,5:11:11,5.18639
2019-07-03 5:04:52,2019,NoBo,3,50.55,17:31:50,17.530556,20:49,20.816667,2.88,12516,13304,59,98.6,4051,,4:58:10,4.96944
2019-07-02 3:59:05,2019,NoBo,2,51.58,18:52:41,18.878056,21:58,21.966667,2.73,13104,12372,64.4,86,4135,,3:37:19,3.62194
2019-07-01 3:50:24,2019,NoBo,1,53.32,15:55:25,15.923611,17:55,17.916667,3.35,13541,14352,62.6,84.2,4642,,6:34:35,6.57639
